Tanggal,Tweet,Sentimen,Aspek_Bisnis
2026-05-29,uninstall aplikasi... DARTAR SELALU GAGAL ALASAN NYA PENGADAIAN TERDEKAN TIDAK ADA LAH EMANG DI KOTA KU NGK ADA (KALSEL) KALO ADA JAUUH BANGET TERUS DI KONFIMASI MALAH GAGAL TERUS TOLONG DONG PERBAIKI,Negatif,Aplikasi Digital (Bug/UI)
2026-05-29,"aplikasi kocak, error mulu, internet lancar aja masih lemot, locak",Negatif,Aplikasi Digital (Bug/UI)
2026-05-29,"tolong tambah bank pencairan dong masa cuma bank besar, bank online seperti sea bank gak ada jadi sulit ini saya yang pakai bank online.",Negatif,Fitur Produk / Transaksi
2026-05-29,"Mau gadai tabungan emas diminta tambah rekening pencairan baru, padahal sudah daftar 3 rekening pencairan, setelah ditambah ga bisa.",Negatif,Harga Emas & Gadai
2026-05-29,"alhamdulillah merasa terbantu dengan fasilitas boring ini, Terima kasih, kalau bisa kedepannya ada fitur buat perak juga😁",Positif,Customer Service / Pelayanan
2026-05-29,"gimana nih,saya mau ganti nama sudah ke cabang terdekat tapi sudah seminggu lebih cuma diminta foto ktp aja dan tidak ada konfirmasi lebih lanjut. saya mau nabung emas lagi jadi ragu soalnya yang sebelumnya tidak bisa digadai dan dijual,kalo memang sudah ada tindakan lebih lanjut akan saya ganti menjadi bintang lima.",Negatif,Harga Emas & Gadai
2026-05-29,"tolong tambahkan bank lainnya dong, masak cuman 5 aja? padahal banyak kyk BPD, seabank, jago, krom dan lain - lain. dan jg tmbhkn e wallet kyk ovo, gopay shopee pay dll",Positif,Fitur Produk / Transaksi
2026-05-28,mengatasi masalah tanpa masalah. mantap,Positif,Fitur Produk / Transaksi
2026-05-28,bagus,Positif,Fitur Produk / Transaksi
2026-05-28,bagus,Positif,Fitur Produk / Transaksi
2026-05-28,aplikasi tolol!!! tempat lahir udah sesuai masih salah terus!! gak jelas!!!,Negatif,Aplikasi Digital (Bug/UI)
2026-05-28,"tidak bisa menambahkan tf emas,, setiap masukin rekening emas org lain tdk bisa",Negatif,Aplikasi Digital (Bug/UI)
2026-05-28,aplikasinya sangat membantu,Positif,Aplikasi Digital (Bug/UI)
2026-05-28,"MOHON MAAF TRING BY ,KALAU APLIKASI NYA AJA BELUM MAKSIMAL JANGAN DULU DI RILLIS KN RUGII SALDO MENGENDAP GAK BISA DI APA APA INN",Negatif,Aplikasi Digital (Bug/UI)
2026-05-28,masa nomer virtual acount nya ga terdaftar Mulu di bsi,Negatif,Fitur Produk / Transaksi
2026-05-27,"aplikasi nya lelet, saya mau jual emas, tapi muter terus, saat mau verifikasi pin malah muter lagi ke awal, udah hampir 3 jam saya coba, tapi muter² terus, udah tak cek jaringan lancar, buka aplikasi lain juga lancar, ngecek saldo, portofolio di aplikasinya juga lancar, cuma pas mau jual kok ga bisa²",Negatif,Aplikasi Digital (Bug/UI)
2026-05-27,"saya kecewa sama aplikasi ini, kenapa harus ada saldo mengendap? apakah pihak aplikasi takut konsumennya kabur? saya mau narik dipersulit karena ada saldo mengendap, kalo gitu pas beli ada minimal beli nya juga dong masa di pencairan doang? ga mikirin gimana orang ketika mendesak? dan butuh saldo itu untuk di cairkan walaupun hanya 0,0183 gram? jujur sangat kecewa sama aplikasi ini, saya harap kebijakan nya di rubah agar konsumen nyaman dengan aplikasi ini dan terus mau membeli emas disini.",Negatif,Aplikasi Digital (Bug/UI)
2026-05-27,lu klo ga bisa bikin sistem jangan bikin yg ruwet. untuk sekelas kirim no otp aja mau masuk nya kapan. nongol nya kapan. giliran kita coba terus malah dapat notif batas sudah habis. yg ada batas sabar saya yg habis sm aplkasi bodoh bgini,Negatif,Aplikasi Digital (Bug/UI)
2026-05-27,apk mantap,Positif,Fitur Produk / Transaksi
2026-05-27,mantap,Positif,Fitur Produk / Transaksi
2026-05-27,bagus,Positif,Fitur Produk / Transaksi
2026-05-27,👍,Positif,Fitur Produk / Transaksi
2026-05-27,sangat mantap,Positif,Fitur Produk / Transaksi
2026-05-27,bgus,Positif,Fitur Produk / Transaksi
2026-05-27,suka dengan aplikasi ini,Positif,Aplikasi Digital (Bug/UI)
2026-05-27,"aplikasi ini memang kekurangannya Gk Bisa bayar H+1 Alias Jatuh Tempo Karena Sifatnya Ini Manajemen Waktu Dan Pengelolaan Pendanaan, Jadi Sebisa Mungkin Kalau Mau Instan Ya Bayar Sebelum Waktunya Dan Namanya Juga Pegadaian Jadi Bukan Hanya Pelayanan Online Saja Yg Diprioritaskan Tapi Offlinenya Juga Diperhatikan Agar Balance (Off Untuk Pembayaran Jatuh Tempo, Apk Untuk Pembayaran H-1 Dan H-2 Seterusnya)",Positif,Aplikasi Digital (Bug/UI)
2026-05-27,aplikasinya bagus,Positif,Aplikasi Digital (Bug/UI)
2026-05-27,aplikasi ny bagus mantap sangat membantu,Positif,Aplikasi Digital (Bug/UI)
2026-05-27,"mau pencairan rekening tersimpan ga kebaca, masukin ulang sama saja ga kebaca",Negatif,Aplikasi Digital (Bug/UI)
2026-05-27,cepet meningkatt💐,Positif,Fitur Produk / Transaksi
2026-05-27,apknya GK bagus,Positif,Fitur Produk / Transaksi
2026-05-27,aplikasi membantu kita saat kita perlu,Positif,Aplikasi Digital (Bug/UI)
2026-05-27,bagus apk nya,Positif,Fitur Produk / Transaksi
2026-05-27,good,Positif,Fitur Produk / Transaksi
2026-05-27,apk nya luar biasa,Positif,Fitur Produk / Transaksi
2026-05-27,Good aplikasi sangat membantu sekali,Positif,Aplikasi Digital (Bug/UI)
2026-05-27,Terimakasih sangat bermanfaat,Positif,Fitur Produk / Transaksi
2026-05-27,sangat bermanfaat,Positif,Fitur Produk / Transaksi
2026-05-27,aplikasi ini sangat bagus,Positif,Aplikasi Digital (Bug/UI)
2026-05-27,"Aplikasi ini sangat luar biasa! mudah digunakan, dan bisa bekerja tanpa hambatan. Sangat membantu produktivitas saya sehari-hari. Terima kasih",Positif,Aplikasi Digital (Bug/UI)
2026-05-27,aplikasi bagus bgt🗿🗿,Positif,Aplikasi Digital (Bug/UI)
2026-05-27,mantap,Positif,Fitur Produk / Transaksi
2026-05-27,"klo pegadaian juga nimbrung di online apakah masih ragu dengan kualitasnya?? suhu ni broo bertahun2 telah menjadi solusi pendanaan masyakat kita dan terus hadir mengikuti zaman, jadi tunggu apalagi cikidot aplikasinya",Positif,Aplikasi Digital (Bug/UI)
2026-05-27,bagys,Positif,Fitur Produk / Transaksi
2026-05-27,mantap,Positif,Fitur Produk / Transaksi
2026-05-27,my favorite apps,Positif,Fitur Produk / Transaksi
2026-05-27,good,Positif,Fitur Produk / Transaksi
2026-05-27,aplikasi ini sangat bagus yuk segera download,Positif,Aplikasi Digital (Bug/UI)
2026-05-27,aplikasi nya bagus dan keren,Positif,Aplikasi Digital (Bug/UI)
2026-05-27,aplikasinya good bgt si,Positif,Aplikasi Digital (Bug/UI)
2026-05-27,nice,Positif,Fitur Produk / Transaksi
2026-05-27,suka deh,Positif,Fitur Produk / Transaksi
2026-05-27,TOP,Positif,Fitur Produk / Transaksi
2026-05-27,sangat bagus,Positif,Fitur Produk / Transaksi
2026-05-27,good,Positif,Fitur Produk / Transaksi
2026-05-27,good,Positif,Fitur Produk / Transaksi
2026-05-27,bagus,Positif,Fitur Produk / Transaksi
2026-05-27,"jangan ragu, sangat memuaskan",Positif,Fitur Produk / Transaksi
2026-05-27,bagussssss,Positif,Fitur Produk / Transaksi
2026-05-26,ini aplikasi sangat membantu,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,"sayang sekali untuk pilihan rekening di penjualan emas sangat sedikit, harusnya semua bank terdaftar supaya memudahkan pengguna yang bukan nasabah bank himbara, ketika proses beli banyak pilihannya tapi pas mau jual sedikit",Negatif,Aplikasi Digital (Bug/UI)
2026-05-26,wow keren,Positif,Fitur Produk / Transaksi
2026-05-26,lumayan lah aplikasinya membantu,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,Baru 2 bulan gak isi saldo dan setelah top up habis 50 ribu dan notifikasi biaya pembukaan Rekening Terus .... merugikan,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,aplikasinya bagus dan menarik,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,sekarang beli dan jual emas tinggal klik aja semudah itu,Positif,Harga Emas & Gadai
2026-05-26,suka bgt sama apk iniii luvv,Positif,Fitur Produk / Transaksi
2026-05-26,"Aplikasi tidak dapat dipakai keterangan Akses Tidak Diperbolehkan, silahkan hubungi customer service. kok gini ya, aplikasi macam apa ini ?",Negatif,Aplikasi Digital (Bug/UI)
2026-05-26,aplikasi bagus,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,sangat bagus dan terpercaya,Positif,Fitur Produk / Transaksi
2026-05-26,apk bagus,Positif,Fitur Produk / Transaksi
2026-05-26,apk bagus,Positif,Fitur Produk / Transaksi
2026-05-26,bagus banget,Positif,Fitur Produk / Transaksi
2026-05-26,sangat bagus,Positif,Fitur Produk / Transaksi
2026-05-26,mantap,Positif,Fitur Produk / Transaksi
2026-05-26,aplikasinya bagus,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,mantep amanah,Positif,Fitur Produk / Transaksi
2026-05-26,apk sangat berguna bagi yg mempunyai keperluan mendadak,Positif,Fitur Produk / Transaksi
2026-05-26,sangat bagus,Positif,Fitur Produk / Transaksi
2026-05-26,aplikasi ini mudah di gunakan,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,sangat bagus!,Positif,Fitur Produk / Transaksi
2026-05-26,👍👍👍,Positif,Fitur Produk / Transaksi
2026-05-26,awesome,Positif,Fitur Produk / Transaksi
2026-05-26,sangat mudah,Positif,Fitur Produk / Transaksi
2026-05-26,bagus,Positif,Fitur Produk / Transaksi
2026-05-26,aplikasi sangat membantu,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,sangat bagus,Positif,Fitur Produk / Transaksi
2026-05-26,baik,Positif,Fitur Produk / Transaksi
2026-05-26,ok,Positif,Fitur Produk / Transaksi
2026-05-26,baru nyoba.,Positif,Fitur Produk / Transaksi
2026-05-26,Kenapa tiba2 aplikasi nya ketika di buka akses tidak diperbolehkan padahal sebelumnya bisa. sudah ku uninstal instal lagi tetap...,Negatif,Aplikasi Digital (Bug/UI)
2026-05-26,mantap berguna,Positif,Fitur Produk / Transaksi
2026-05-26,"masih perlu banyak perbaikan, untuk cetak fisik sering error, status dalam proses terus tanpa update, ujung ujungnya refund itupun lama tanpa penjelasan harus chat cabang dan lama cairnya, mohon diperbaiki lagi aplikasi untuk cetak fisik",Negatif,Aplikasi Digital (Bug/UI)
2026-05-26,keren bet jitt,Positif,Fitur Produk / Transaksi
2026-05-26,mantap,Positif,Fitur Produk / Transaksi
2026-05-26,good,Positif,Fitur Produk / Transaksi
2026-05-26,good job,Positif,Fitur Produk / Transaksi
2026-05-26,"gk jls, kata sandi da bner gk bisa masuk trus menerus, mlah disuruh nunggu berjam2 demi keamanan, mlah memperibet customer, pke kode otp tpi kodenya kluar pun gk dichat, pd niat bikin aplikasi gk",Negatif,Aplikasi Digital (Bug/UI)
2026-05-26,aplikasi tring emang bagus dan penjualan emas digital tidak terlalu memberatkan pengguna.,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,tribh by pegadaian adalah aplikasi yg mudah untuk pegadaian,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,aplikasi ini sangat bagus dan nyaman semoga kedepannya tambah Bagus,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,sangat membantu,Positif,Customer Service / Pelayanan
2026-05-26,aplikasi bagus sekali,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,good pisan,Positif,Fitur Produk / Transaksi
2026-05-26,Okehhh bagus,Positif,Fitur Produk / Transaksi
2026-05-26,lumayan,Positif,Fitur Produk / Transaksi
2026-05-26,proses mudah dan tidak ribet,Positif,Fitur Produk / Transaksi
2026-05-26,apk nya godd cuyy saya kasih bintang lima dahh,Positif,Fitur Produk / Transaksi
2026-05-26,mantap,Positif,Fitur Produk / Transaksi
2026-05-26,bangus banget aplikasinya,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,apk ini sangat lah bagus,Positif,Fitur Produk / Transaksi
2026-05-26,sangat baik,Positif,Fitur Produk / Transaksi
2026-05-26,waw saya bisa jual emas ye pitipiwpiwpiw,Positif,Harga Emas & Gadai
2026-05-26,aplikasi mantap aku baru memakai nya 1x langsung puas,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,"bagus, terpercaya buruan coba",Positif,Fitur Produk / Transaksi
2026-05-26,apk mantap,Positif,Fitur Produk / Transaksi
2026-05-26,aplikasinya bagus,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,saya sudah mencoba berbagai aplikasi emas digital tapi yang paling mudah aman dan nyaman hanya aplikasi tring by pegadaian,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,bagus,Positif,Fitur Produk / Transaksi
2026-05-26,apk nya membantu banget,Positif,Customer Service / Pelayanan
2026-05-26,mantap yok dsni,Positif,Fitur Produk / Transaksi
2026-05-26,fitur lengkap mudah di akses saya sayangat terbantu dengan aplikasi ini. terima kasih,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,sangat membantu,Positif,Customer Service / Pelayanan
2026-05-26,"mantaaapppp...,👍👍👍👍",Positif,Fitur Produk / Transaksi
2026-05-26,oke,Positif,Fitur Produk / Transaksi
2026-05-26,"layanan bagus,jadi ga usah repot kesana kemari",Positif,Customer Service / Pelayanan
2026-05-26,josss,Positif,Fitur Produk / Transaksi
2026-05-26,mantap,Positif,Fitur Produk / Transaksi
2026-05-26,apk ini sangat bagus dan bermanfaat,Positif,Fitur Produk / Transaksi
2026-05-26,aplikasi ini sangat bagus,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,bagus,Positif,Fitur Produk / Transaksi
2026-05-26,mantap,Positif,Fitur Produk / Transaksi
2026-05-26,ok,Positif,Fitur Produk / Transaksi
2026-05-26,good,Positif,Fitur Produk / Transaksi
2026-05-26,bagusss,Positif,Fitur Produk / Transaksi
2026-05-26,ok,Positif,Fitur Produk / Transaksi
2026-05-26,aplikasi bagus bisa nabung emas,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,ok,Positif,Fitur Produk / Transaksi
2026-05-26,legit,Positif,Fitur Produk / Transaksi
2026-05-26,sangat membantu,Positif,Customer Service / Pelayanan
2026-05-26,apk nya kurang bagus,Positif,Fitur Produk / Transaksi
2026-05-26,"susah emng klo aplikasi gagal, ayo dong serius pemerintah udh saatnya digital indo harus jauh lebih baik",Negatif,Aplikasi Digital (Bug/UI)
2026-05-26,baguss banget ih,Positif,Fitur Produk / Transaksi
2026-05-26,mantap,Positif,Fitur Produk / Transaksi
2026-05-26,sangat bermanfaat,Positif,Fitur Produk / Transaksi
2026-05-26,Apk nya yang luar biasa recommended deecchh 🤗,Positif,Fitur Produk / Transaksi
2026-05-26,apk sangat bagus,Positif,Fitur Produk / Transaksi
2026-05-26,gokil,Positif,Fitur Produk / Transaksi
2026-05-26,baguss,Positif,Fitur Produk / Transaksi
2026-05-26,mantapnyooo,Positif,Fitur Produk / Transaksi
2026-05-26,bgus,Positif,Fitur Produk / Transaksi
2026-05-26,aplikasii yang bagus buat invest masa depan,Positif,Aplikasi Digital (Bug/UI)
2026-05-26,hebat,Positif,Fitur Produk / Transaksi
2026-05-26,coba dulu blm terbukti 🥰🥰🥰,Positif,Fitur Produk / Transaksi
2026-05-25,jadi lebih mudah untuk memantau harga emas,Positif,Harga Emas & Gadai
2026-05-25,keren aplikasi nya,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,bagsu,Positif,Fitur Produk / Transaksi
2026-05-25,cepat dan mudah,Positif,Fitur Produk / Transaksi
2026-05-25,hanya bintang 5,Positif,Fitur Produk / Transaksi
2026-05-25,bagus,Positif,Fitur Produk / Transaksi
2026-05-25,sangat bagus,Positif,Fitur Produk / Transaksi
2026-05-25,sangat bagus,Positif,Fitur Produk / Transaksi
2026-05-25,"aplikasi berjalan dengan baik,dan gampang di pahami,",Positif,Aplikasi Digital (Bug/UI)
2026-05-25,Sahabat Keuangan yg baik,Positif,Fitur Produk / Transaksi
2026-05-25,tempat gadai paling recomend,Positif,Harga Emas & Gadai
2026-05-25,sangat membantu dalam menabung emas,Positif,Harga Emas & Gadai
2026-05-25,sangat bagus,Positif,Fitur Produk / Transaksi
2026-05-25,lumayan,Positif,Fitur Produk / Transaksi
2026-05-25,bagus,Positif,Fitur Produk / Transaksi
2026-05-25,Bagus sekali,Positif,Fitur Produk / Transaksi
2026-05-25,mntap,Positif,Fitur Produk / Transaksi
2026-05-25,Sungguh aplikasi super cepat dan tidak ada bunga apapun,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,Aplikasi ini sangat mudah di gunakan dan di temukan.,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,sngt bgus,Positif,Fitur Produk / Transaksi
2026-05-25,"aplikasi ini bagus, dan tidak trlalu sulit untuk digunakan",Positif,Aplikasi Digital (Bug/UI)
2026-05-25,aplikasi nya sangat bagus bermanfaat dan sangat mudah digunakan,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,"sangatt membantu sekali,smua proses pegadaian jadi tidak perlu ribet untuk ke outlet,mantapp!!",Positif,Harga Emas & Gadai
2026-05-25,bagus,Positif,Fitur Produk / Transaksi
2026-05-25,opsi bank BCA kenapa tidak ada? padahal saya membeli emas pakai virtual bca dan masalahnya masih belum terselesaikan 😡 jadi kapan masalah ini bisa diselesaikan???,Negatif,Harga Emas & Gadai
2026-05-25,sangat bagus dan berguna,Positif,Fitur Produk / Transaksi
2026-05-25,apk yang bagus,Positif,Fitur Produk / Transaksi
2026-05-25,bagus,Positif,Fitur Produk / Transaksi
2026-05-25,aplikasi nya bagus,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,gk jadi gw download 😹😹😛,Positif,Fitur Produk / Transaksi
2026-05-25,aplikasi nya efisien banget semoga lebih meningkat ya supaya lebih banyak pengguna nya,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,ok sangat bagus aplikasi inj,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,"gak bsa di jual emasnya rek udh di tambhkan tapi gak keluar reknya yang sudah di ketik, apk busuk",Negatif,Aplikasi Digital (Bug/UI)
2026-05-25,nice,Positif,Fitur Produk / Transaksi
2026-05-25,"entah kenapa di aplikasi saya tidak ada pencairan lewat bank BCA, hanya ada bank BRI, BNI, BTN, dan bank Mandiri",Negatif,Aplikasi Digital (Bug/UI)
2026-05-25,mantap,Positif,Fitur Produk / Transaksi
2026-05-25,aplikasi ini sagat matap,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,aplikasinya ok banget dah,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,sangat bagus,Positif,Fitur Produk / Transaksi
2026-05-25,sangat bagus,Positif,Fitur Produk / Transaksi
2026-05-25,"Pernah gak bisa akses lg karena no yang dipakai daftar hilang tp sekarang udh bisa masuk lagi asal no ktp sama bs sync dg akun lama tanpa ribet. Terima kasih Pegadaian, seperti semboyan nya mengatasi masalah tanpa masalah. Sukses dan jaya selalu",Negatif,Aplikasi Digital (Bug/UI)
2026-05-25,"mantap, bayar cicilan gak harus ke kantor.. mempermudah",Positif,Customer Service / Pelayanan
2026-05-25,aman dan terpercaya,Positif,Fitur Produk / Transaksi
2026-05-25,bagus,Positif,Fitur Produk / Transaksi
2026-05-25,good sekali,Positif,Fitur Produk / Transaksi
2026-05-25,pelayanan bagus,Positif,Customer Service / Pelayanan
2026-05-25,aplikasi sangat bagus rekomend banget,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,bagus aplikasinya fiturnya lengkap dan mudah dipahami sangat membantu banget,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,lebih mudah,Positif,Fitur Produk / Transaksi
2026-05-25,mantap,Positif,Fitur Produk / Transaksi
2026-05-25,mantap,Positif,Fitur Produk / Transaksi
2026-05-25,aplikasi sangat membantu,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,aplikasi Sangat bagus Mudah dipahami tampilan Bagus,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,tring mempermudah urusan kita dengan pegadaian,Positif,Harga Emas & Gadai
2026-05-25,good,Positif,Fitur Produk / Transaksi
2026-05-25,mudah dan terpercaya,Positif,Fitur Produk / Transaksi
2026-05-25,"cukup baik nie apk nya , bagus lancar",Positif,Fitur Produk / Transaksi
2026-05-25,punyaku gak bisa dibuka ya habis di update padahal usb sama wireless deb nya udah pada non.aktif 😤,Negatif,Aplikasi Digital (Bug/UI)
2026-05-25,cukup mudah dan simpel,Positif,Fitur Produk / Transaksi
2026-05-25,mantap,Positif,Fitur Produk / Transaksi
2026-05-25,apk nya bagus,Positif,Fitur Produk / Transaksi
2026-05-25,ok,Positif,Fitur Produk / Transaksi
2026-05-25,good,Positif,Fitur Produk / Transaksi
2026-05-25,"sangaaaaat sangaaaaat bangus sekali, cocok untuk sayaaa",Positif,Fitur Produk / Transaksi
2026-05-25,apakah Anda malihat iklan di aplikasi ini,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,nice,Positif,Fitur Produk / Transaksi
2026-05-25,sangat membantu dan bisa di andalkan aplikasinnya sngat ringan di gunakan semoga kedepan lebih baik,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,bagus,Positif,Fitur Produk / Transaksi
2026-05-25,aplikasi ini cocok untuk yang suka gadaian,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,"Pegadaian nya cepat dan mudah dipahami,bagi orang yang mau menggadaikan sesuatu",Positif,Harga Emas & Gadai
2026-05-25,mantab,Positif,Fitur Produk / Transaksi
2026-05-25,sangat baik dalam pelayanan,Positif,Customer Service / Pelayanan
2026-05-25,cihuy,Positif,Fitur Produk / Transaksi
2026-05-25,ok,Positif,Fitur Produk / Transaksi
2026-05-25,Baguss,Positif,Fitur Produk / Transaksi
2026-05-25,bagus,Positif,Fitur Produk / Transaksi
2026-05-25,Bagus cepat dan aman,Positif,Fitur Produk / Transaksi
2026-05-25,Saya bisa dengan mudah memantau perkembangan investasi emas saya.,Positif,Harga Emas & Gadai
2026-05-25,good,Positif,Fitur Produk / Transaksi
2026-05-25,bagus bgt,Positif,Fitur Produk / Transaksi
2026-05-25,sangat menyenangkan,Positif,Fitur Produk / Transaksi
2026-05-25,good luck,Positif,Fitur Produk / Transaksi
2026-05-25,Lebih Keren Lagi Klw Aplikasi Nya Bisa Tau/Lihat Barang Yang Kita Gadai(Gambar) Barang Yg Kita Gadai Pliss Dong Minnn 🙏,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,apk membantu saat kebutuhan darurat,Positif,Customer Service / Pelayanan
2026-05-25,keren,Positif,Fitur Produk / Transaksi
2026-05-25,like,Positif,Fitur Produk / Transaksi
2026-05-25,mantap pokonya,Positif,Fitur Produk / Transaksi
2026-05-25,apk ini dapet di percaya,Positif,Fitur Produk / Transaksi
2026-05-25,mantap,Positif,Fitur Produk / Transaksi
2026-05-25,verygood,Positif,Fitur Produk / Transaksi
2026-05-25,aplikasi yg bagus,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,bagus,Positif,Fitur Produk / Transaksi
2026-05-25,good,Positif,Fitur Produk / Transaksi
2026-05-25,bagus,Positif,Fitur Produk / Transaksi
2026-05-25,apk nya baguss,Positif,Fitur Produk / Transaksi
2026-05-25,sangat bagusss,Positif,Fitur Produk / Transaksi
2026-05-25,aplikasi sangat keren,Positif,Aplikasi Digital (Bug/UI)
2026-05-25,luar biasa,Positif,Fitur Produk / Transaksi
2026-05-25,bagus,Positif,Fitur Produk / Transaksi
2026-05-25,sangat bermanfaat,Positif,Fitur Produk / Transaksi
2026-05-25,"masak iya pasword di masukan salah, sdh di ganti sandi salah juga. sengaja apa gmna",Negatif,Aplikasi Digital (Bug/UI)
2026-05-25,bagus banget buat cuan,Positif,Fitur Produk / Transaksi
2026-05-25,keren,Positif,Fitur Produk / Transaksi
2026-05-24,senangggg,Positif,Fitur Produk / Transaksi
2026-05-24,good,Positif,Fitur Produk / Transaksi
2026-05-24,sangat baik,Positif,Fitur Produk / Transaksi
2026-05-24,mantap,Positif,Fitur Produk / Transaksi
2026-05-24,aplikasi yang bagus,Positif,Aplikasi Digital (Bug/UI)
2026-05-24,aplikasi yang bagus,Positif,Aplikasi Digital (Bug/UI)
2026-05-24,mantap,Positif,Fitur Produk / Transaksi
2026-05-24,wow,Positif,Fitur Produk / Transaksi
2026-05-24,Aplikasi yang sangat bagus untuk digunakan .,Positif,Aplikasi Digital (Bug/UI)
2026-05-24,"aplikasi nya memuaskan banget bisa nabung mulai dari nominal receh, ngga dibikin ribet juga, the best",Positif,Aplikasi Digital (Bug/UI)
2026-05-24,"membantu jual beli emas, bisa gadai jika butuh dana darurat, mumpung harga emas turun bisa langsung beli lagi",Positif,Harga Emas & Gadai
2026-05-24,T - O - P,Positif,Fitur Produk / Transaksi
2026-05-24,sangat menarik,Positif,Fitur Produk / Transaksi
2026-05-24,bagus sangat membantu apk nya proses mudah dan tidak ribettt,Positif,Customer Service / Pelayanan
2026-05-24,"bagus banget,bunga rendah pelayanan ramah",Positif,Customer Service / Pelayanan
2026-05-24,aplikasinya sangat bagus dan sangat berguna saat ada hal yang harus digadaikan,Positif,Aplikasi Digital (Bug/UI)
2026-05-24,sangat bagus aplikasinya,Positif,Aplikasi Digital (Bug/UI)
2026-05-24,aplikasi yang bagus untuk d gunakan.dengan fitur yang lengkap,Positif,Aplikasi Digital (Bug/UI)
2026-05-24,aplikasinya cukup mudah di gunakan untuk pemula,Positif,Aplikasi Digital (Bug/UI)
2026-05-24,lumayan bagus,Positif,Fitur Produk / Transaksi
2026-05-24,mudah dan bermanfaat,Positif,Fitur Produk / Transaksi
2026-05-24,aplikasi sangat mudah bagi kita buat minjam,Positif,Aplikasi Digital (Bug/UI)
2026-05-24,mantap,Positif,Fitur Produk / Transaksi
2026-05-24,aplikasi pegadain ok,Positif,Aplikasi Digital (Bug/UI)
2026-05-24,saya suka dengan aplikasi nyaa,Positif,Aplikasi Digital (Bug/UI)
2026-05-24,keren,Positif,Fitur Produk / Transaksi
2026-05-24,apk hama,Positif,Fitur Produk / Transaksi
2026-05-24,good,Positif,Fitur Produk / Transaksi
2026-05-24,sangat mudah digunakan,Positif,Fitur Produk / Transaksi
2026-05-24,gacor abis,Positif,Fitur Produk / Transaksi
2026-05-24,sangat suka dan rekomended sekali,Positif,Fitur Produk / Transaksi
2026-05-24,bismillah sangat bagus,Positif,Fitur Produk / Transaksi
2026-05-24,sangat membantu sekali,Positif,Customer Service / Pelayanan
2026-05-24,aplikasi bagus dan gampang untuk menggadai kan barang,Positif,Aplikasi Digital (Bug/UI)
2026-05-24,jangan di pake,Positif,Fitur Produk / Transaksi
2026-05-24,nice aplication,Positif,Fitur Produk / Transaksi
2026-05-24,aplikasi yang saya gunakan ini bagus,Positif,Aplikasi Digital (Bug/UI)
2026-05-24,nice,Positif,Fitur Produk / Transaksi
2026-05-24,untuk aplikasinya lumayan bagus tapi untuk developer mohon untuk di tingkatkan lagi kualitas admistrasi pada aplikasinya lagi agar para pengguna bisa tetap nyaman menggunakan aplikasi ini terimakasih,Positif,Aplikasi Digital (Bug/UI)
2026-05-24,aman dan terpercaya,Positif,Fitur Produk / Transaksi
2026-05-24,bagus aplikasinya bisa nabung emas tanpa pergi ke toko emas,Positif,Aplikasi Digital (Bug/UI)
2026-05-24,mohon untuk kerja sama dengan bank BCA. agar bisa menambahkan rekening BCA di rekening penarikan,Negatif,Fitur Produk / Transaksi
2026-05-24,sejauh ini bagus. karena harga emas pun selalu update jadi bisa buat mantau,Positif,Aplikasi Digital (Bug/UI)
2026-05-24,saya suka aplikasi ini,Positif,Aplikasi Digital (Bug/UI)
